Mouse moved,m,406,+,2019-06-11 10:46:35.982229,2,1
Button clicked,m,15,+,2019-06-11 10:46:35.997410,2,1
Mouse started moving,m,0,,2019-06-11 10:46:36.184579,2,1
Mouse moved,m,350,6,2019-06-11 10:46:36.534793,2,1
Button clicked,m,15,6,2019-06-11 10:46:36.549697,2,1
Mouse started moving,m,0,,2019-06-11 10:46:36.624548,2,1
Mouse moved,m,350,+,2019-06-11 10:46:36.975012,2,1
Button clicked,m,16,+,2019-06-11 10:46:36.990479,2,1
Mouse started moving,m,0,,2019-06-11 10:46:37.064512,2,1
Mouse moved,m,582,7,2019-06-11 10:46:37.646446,2,1
Button clicked,m,12,7,2019-06-11 10:46:37.658815,2,1
Mouse started moving,m,0,,2019-06-11 10:46:37.672580,2,1
Mouse moved,m,462,+,2019-06-11 10:46:38.134032,2,1
Button clicked,m,26,+,2019-06-11 10:46:38.159192,2,1
Mouse started moving,m,0,,2019-06-11 10:46:38.288513,2,1
Mouse moved,m,438,8,2019-06-11 10:46:38.726210,2,1
Button clicked,m,17,8,2019-06-11 10:46:38.742117,2,1
Mouse started moving,m,0,,2019-06-11 10:46:38.776496,2,1
Mouse moved,m,510,+,2019-06-11 10:46:39.286230,2,1
Button clicked,m,27,+,2019-06-11 10:46:39.312402,2,1
Mouse started moving,m,0,,2019-06-11 10:46:39.352653,2,1
Mouse moved,m,406,9,2019-06-11 10:46:39.758149,2,1
Button clicked,m,17,9,2019-06-11 10:46:39.774438,2,1
Mouse started moving,m,0,,2019-06-11 10:46:39.888476,2,1
Mouse moved,m,342,+,2019-06-11 10:46:40.230397,2,1
Button clicked,m,32,+,2019-06-11 10:46:40.262651,2,1
Mouse started moving,m,0,,2019-06-11 10:46:40.328789,2,1
Mouse moved,m,358,1,2019-06-11 10:46:40.686364,2,1
Button clicked,m,17,1,2019-06-11 10:46:40.703502,2,1
Mouse started moving,m,0,,2019-06-11 10:46:40.744990,2,1
Mouse moved,m,208,0,2019-06-11 10:46:40.952213,2,1
Button clicked,m,35,0,2019-06-11 10:46:40.986032,2,1
Mouse started moving,m,0,,2019-06-11 10:46:41.072614,2,1
Mouse moved,m,414,+,2019-06-11 10:46:41.486891,2,1
Button clicked,m,32,+,2019-06-11 10:46:41.518514,2,1
Mouse started moving,m,0,,2019-06-11 10:46:41.560603,2,1
Mouse moved,m,559,1,2019-06-11 10:46:42.119466,2,1
Button clicked,m,30,1,2019-06-11 10:46:42.149849,2,1
Button clicked,m,20,1,2019-06-11 10:46:42.295042,2,1
Mouse started moving,m,0,,2019-06-11 10:46:42.368720,2,1
Mouse moved,m,502,+,2019-06-11 10:46:42.870349,2,1
Button clicked,m,23,+,2019-06-11 10:46:42.893939,2,1
Mouse started moving,m,0,,2019-06-11 10:46:42.968584,2,1
Mouse moved,m,311,1,2019-06-11 10:46:43.279915,2,1
Button clicked,m,25,1,2019-06-11 10:46:43.304178,2,1
Mouse started moving,m,0,,2019-06-11 10:46:43.336618,2,1
Mouse moved,m,215,2,2019-06-11 10:46:43.551679,2,1
Button clicked,m,24,2,2019-06-11 10:46:43.575782,2,1
Mouse started moving,m,0,,2019-06-11 10:46:43.608855,2,1
Mouse moved,m,526,+,2019-06-11 10:46:44.134328,2,1
Button clicked,m,17,+,2019-06-11 10:46:44.151227,2,1
Mouse started moving,m,0,,2019-06-11 10:46:44.200758,2,1
Mouse moved,m,526,1,2019-06-11 10:46:44.726379,2,1
Button clicked,m,16,1,2019-06-11 10:46:44.742138,2,1
Mouse started moving,m,0,,2019-06-11 10:46:44.792547,2,1
Mouse moved,m,406,3,2019-06-11 10:46:45.198166,2,1
Button clicked,m,27,3,2019-06-11 10:46:45.224531,2,1
Mouse started moving,m,0,,2019-06-11 10:46:45.296671,2,1
Mouse moved,m,359,+,2019-06-11 10:46:45.655215,2,1
Button clicked,m,41,+,2019-06-11 10:46:45.695111,2,1
Mouse started moving,m,0,,2019-06-11 10:46:45.800665,2,1
Mouse moved,m,478,1,2019-06-11 10:46:46.278487,2,1
Button clicked,m,26,1,2019-06-11 10:46:46.304187,2,1
Mouse started moving,m,0,,2019-06-11 10:46:46.352847,2,1
Mouse moved,m,198,4,2019-06-11 10:46:46.550997,2,1
Button clicked,m,34,4,2019-06-11 10:46:46.584062,2,1
Mouse started moving,m,0,,2019-06-11 10:46:46.632724,2,1
Mouse moved,m,608,+,2019-06-11 10:46:47.240284,2,1
Button clicked,m,41,+,2019-06-11 10:46:47.280228,2,1
Mouse started moving,m,0,,2019-06-11 10:46:47.352723,2,1
Mouse moved,m,302,1,2019-06-11 10:46:47.654877,2,1
Button clicked,m,33,1,2019-06-11 10:46:47.687490,2,1
Mouse started moving,m,0,,2019-06-11 10:46:47.704814,2,1
Mouse moved,m,334,5,2019-06-11 10:46:48.038278,2,1
Button clicked,m,26,5,2019-06-11 10:46:48.063590,2,1
Mouse started moving,m,0,,2019-06-11 10:46:48.112687,2,1
Mouse moved,m,462,+,2019-06-11 10:46:48.574846,2,1
Button clicked,m,41,+,2019-06-11 10:46:48.615536,2,1
Mouse started moving,m,0,,2019-06-11 10:46:48.640587,2,1
Mouse moved,m,454,1,2019-06-11 10:46:49.094639,2,1
Button clicked,m,13,1,2019-06-11 10:46:49.107145,2,1
Mouse started moving,m,0,,2019-06-11 10:46:49.112899,2,1
Mouse moved,m,334,6,2019-06-11 10:46:49.446891,2,1
Button clicked,m,32,6,2019-06-11 10:46:49.478336,2,1
Mouse started moving,m,0,,2019-06-11 10:46:49.544826,2,1
Mouse moved,m,351,+,2019-06-11 10:46:49.895738,2,1
Button clicked,m,34,+,2019-06-11 10:46:49.929138,2,1
Mouse started moving,m,0,,2019-06-11 10:46:49.944869,2,1
Mouse moved,m,366,1,2019-06-11 10:46:50.310381,2,1
Button clicked,m,42,1,2019-06-11 10:46:50.353016,2,1
Mouse started moving,m,0,,2019-06-11 10:46:50.448711,2,1
Mouse moved,m,318,7,2019-06-11 10:46:50.766719,2,1
Button clicked,m,25,7,2019-06-11 10:46:50.791216,2,1
Mouse started moving,m,0,,2019-06-11 10:46:50.864653,2,1
Mouse moved,m,525,+,2019-06-11 10:46:51.389919,2,1
Button clicked,m,27,+,2019-06-11 10:46:51.416477,2,1
Mouse started moving,m,0,,2019-06-11 10:46:51.448839,2,1
Mouse moved,m,454,1,2019-06-11 10:46:51.902357,2,1
Button clicked,m,26,1,2019-06-11 10:46:51.928741,2,1
Mouse started moving,m,0,,2019-06-11 10:46:51.952656,2,1
Mouse moved,m,375,8,2019-06-11 10:46:52.327540,2,1
Button clicked,m,24,8,2019-06-11 10:46:52.351039,2,1
Mouse started moving,m,0,,2019-06-11 10:46:52.416734,2,1
Mouse moved,m,590,+,2019-06-11 10:46:53.006700,2,1
Button clicked,m,25,+,2019-06-11 10:46:53.031718,2,1
Mouse started moving,m,0,,2019-06-11 10:46:53.096779,2,1
Mouse moved,m,494,1,2019-06-11 10:46:53.590591,2,1
Button clicked,m,33,1,2019-06-11 10:46:53.623703,2,1
Mouse started moving,m,0,,2019-06-11 10:46:53.648811,2,1
Mouse moved,m,390,9,2019-06-11 10:46:54.038412,2,1
Button clicked,m,33,9,2019-06-11 10:46:54.071222,2,1
Mouse started moving,m,0,,2019-06-11 10:46:54.096777,2,1
Mouse moved,m,446,+,2019-06-11 10:46:54.542662,2,1
Button clicked,m,41,+,2019-06-11 10:46:54.583973,2,1
Mouse started moving,m,0,,2019-06-11 10:46:54.704842,2,1
Mouse moved,m,358,2,2019-06-11 10:46:55.062504,2,1
Button clicked,m,32,2,2019-06-11 10:46:55.094855,2,1
Mouse started moving,m,0,,2019-06-11 10:46:55.152699,2,1
Mouse moved,m,223,0,2019-06-11 10:46:55.375417,2,1
Button clicked,m,39,0,2019-06-11 10:46:55.414798,2,1
Mouse started moving,m,0,,2019-06-11 10:46:55.465256,2,1
Mouse moved,m,790,=,2019-06-11 10:46:56.255257,2,1
Button clicked,m,48,=,2019-06-11 10:46:56.302538,2,1
Mouse started moving,m,0,,2019-06-11 10:46:57.056954,2,1
Mouse started moving,m,0,,2019-06-11 10:47:34.034517,3,3
Mouse moved,m,845,(,2019-06-11 10:47:34.879806,3,3
Button clicked,m,48,(,2019-06-11 10:47:34.927359,3,3
Mouse started moving,m,0,,2019-06-11 10:47:35.137286,3,3
Mouse moved,m,527,3,2019-06-11 10:47:35.664210,3,3
Button clicked,m,16,3,2019-06-11 10:47:35.679394,3,3
Mouse started moving,m,0,,2019-06-11 10:47:35.785294,3,3
Mouse moved,m,742,²,2019-06-11 10:47:36.527549,3,3
Button clicked,m,24,²,2019-06-11 10:47:36.551159,3,3
Mouse started moving,m,0,,2019-06-11 10:47:36.801321,3,3
Mouse moved,m,678,+,2019-06-11 10:47:37.479555,3,3
Button clicked,m,40,+,2019-06-11 10:47:37.519197,3,3
Mouse started moving,m,0,,2019-06-11 10:47:37.681510,3,3
Mouse moved,m,493,4,2019-06-11 10:47:38.174985,3,3
Button clicked,m,33,4,2019-06-11 10:47:38.207087,3,3
Mouse started moving,m,0,,2019-06-11 10:47:38.209894,3,3
Mouse moved,m,798,²,2019-06-11 10:47:39.007684,3,3
Button clicked,m,39,²,2019-06-11 10:47:39.046470,3,3
Mouse started moving,m,0,,2019-06-11 10:47:39.330561,3,3
Mouse moved,m,725,),2019-06-11 10:47:40.055359,3,3
Button clicked,m,48,),2019-06-11 10:47:40.103312,3,3
Mouse started moving,m,0,,2019-06-11 10:47:40.665755,3,3
Mouse moved,m,478,*,2019-06-11 10:47:41.143167,3,3
Button clicked,m,25,*,2019-06-11 10:47:41.167080,3,3
Mouse started moving,m,0,,2019-06-11 10:47:41.385484,3,3
Mouse moved,m,351,1,2019-06-11 10:47:41.736152,3,3
Button clicked,m,66,1,2019-06-11 10:47:41.801757,3,3
Mouse started moving,m,0,,2019-06-11 10:47:41.812763,3,3
Mouse moved,m,475,5,2019-06-11 10:47:42.287170,3,3
Button clicked,m,34,5,2019-06-11 10:47:42.320831,3,3
Mouse started moving,m,0,,2019-06-11 10:47:42.457480,3,3
Mouse moved,m,518,.,2019-06-11 10:47:42.975032,3,3
Button clicked,m,33,.,2019-06-11 10:47:43.007058,3,3
Mouse started moving,m,0,,2019-06-11 10:47:43.105420,3,3
Mouse moved,m,397,2,2019-06-11 10:47:43.502845,3,3
Button clicked,m,9,2,2019-06-11 10:47:43.511632,3,3
Mouse started moving,m,0,,2019-06-11 10:47:43.601379,3,3
Mouse moved,m,558,=,2019-06-11 10:47:44.159385,3,3
Button clicked,m,46,=,2019-06-11 10:47:44.204090,3,3
Mouse started moving,m,0,,2019-06-11 10:47:44.353599,3,3
Button clicked,k,75,(,2019-06-11 10:48:06.090853,3,4
Button clicked,k,115,,2019-06-11 10:48:06.130754,3,4
Button clicked,k,85,²,2019-06-11 10:48:06.909979,3,4
Button clicked,k,137,,2019-06-11 10:48:06.961212,3,4
Button clicked,k,108,+,2019-06-11 10:48:07.520632,3,4
Button clicked,k,87,4,2019-06-11 10:48:08.740577,3,4
Button clicked,k,81,²,2019-06-11 10:48:09.990832,3,4
Button clicked,k,222,,2019-06-11 10:48:10.131902,3,4
Button clicked,k,67,),2019-06-11 10:48:10.794762,3,4
Button clicked,k,125,,2019-06-11 10:48:10.852266,3,4
Button clicked,k,75,*,2019-06-11 10:48:12.954480,3,4
Button clicked,k,69,1,2019-06-11 10:48:14.365431,3,4
Button clicked,k,61,5,2019-06-11 10:48:14.804529,3,4
Button clicked,k,20,.,2019-06-11 10:48:15.296886,3,4
Button clicked,k,81,2,2019-06-11 10:48:15.357081,3,4
Button clicked,k,68,=,2019-06-11 10:48:16.918880,3,4
Button clicked,k,169,,2019-06-11 10:48:17.019992,3,4
Mouse started moving,m,0,,2019-06-11 10:48:47.036401,3,1
Mouse moved,m,644,1,2019-06-11 10:48:47.680349,3,1
Button clicked,m,11,1,2019-06-11 10:48:47.691303,3,1
Mouse started moving,m,0,,2019-06-11 10:48:47.746434,3,1
Mouse moved,m,454,+,2019-06-11 10:48:48.200168,3,1
Button clicked,m,19,+,2019-06-11 10:48:48.218086,3,1
Mouse started moving,m,0,,2019-06-11 10:48:48.266226,3,1
Mouse moved,m,405,2,2019-06-11 10:48:48.671638,3,1
Button clicked,m,8,2,2019-06-11 10:48:48.680029,3,1
Mouse started moving,m,0,,2019-06-11 10:48:48.683304,3,1
Mouse moved,m,396,+,2019-06-11 10:48:49.079928,3,1
Button clicked,m,12,+,2019-06-11 10:48:49.091889,3,1
Mouse started moving,m,0,,2019-06-11 10:48:49.146221,3,1
Mouse moved,m,246,3,2019-06-11 10:48:49.392065,3,1
Button clicked,m,8,3,2019-06-11 10:48:49.399959,3,1
Mouse started moving,m,0,,2019-06-11 10:48:49.458631,3,1
Mouse moved,m,270,+,2019-06-11 10:48:49.728460,3,1
Button clicked,m,28,+,2019-06-11 10:48:49.757004,3,1
Mouse started moving,m,0,,2019-06-11 10:48:49.762459,3,1
Mouse moved,m,430,4,2019-06-11 10:48:50.192137,3,1
Button clicked,m,25,4,2019-06-11 10:48:50.216560,3,1
Mouse started moving,m,0,,2019-06-11 10:48:50.274242,3,1
Mouse moved,m,278,+,2019-06-11 10:48:50.552753,3,1
Button clicked,m,29,+,2019-06-11 10:48:50.581469,3,1
Mouse started moving,m,0,,2019-06-11 10:48:50.602670,3,1
Mouse moved,m,293,5,2019-06-11 10:48:50.895926,3,1
Button clicked,m,16,5,2019-06-11 10:48:50.911929,3,1
Mouse started moving,m,0,,2019-06-11 10:48:50.939434,3,1
Mouse moved,m,381,+,2019-06-11 10:48:51.320135,3,1
Button clicked,m,18,+,2019-06-11 10:48:51.337699,3,1
Mouse started moving,m,0,,2019-06-11 10:48:51.354409,3,1
Mouse moved,m,334,6,2019-06-11 10:48:51.688859,3,1
Button clicked,m,28,6,2019-06-11 10:48:51.716425,3,1
Mouse started moving,m,0,,2019-06-11 10:48:51.746907,3,1
Mouse moved,m,351,+,2019-06-11 10:48:52.097250,3,1
Button clicked,m,41,+,2019-06-11 10:48:52.138637,3,1
Mouse started moving,m,0,,2019-06-11 10:48:52.147318,3,1
Mouse moved,m,412,7,2019-06-11 10:48:52.559500,3,1
Button clicked,m,18,7,2019-06-11 10:48:52.577199,3,1
Button clicked,m,10,7,2019-06-11 10:48:52.921869,3,1
Mouse started moving,m,0,,2019-06-11 10:48:53.146568,3,1
Mouse moved,m,550,+,2019-06-11 10:48:53.696365,3,1
Button clicked,m,42,+,2019-06-11 10:48:53.738341,3,1
Mouse started moving,m,0,,2019-06-11 10:48:53.778472,3,1
Mouse moved,m,444,8,2019-06-11 10:48:54.222150,3,1
Button clicked,m,28,8,2019-06-11 10:48:54.251291,3,1
Mouse started moving,m,0,,2019-06-11 10:48:54.298333,3,1
Mouse moved,m,622,+,2019-06-11 10:48:54.920033,3,1
Button clicked,m,30,+,2019-06-11 10:48:54.949785,3,1
Mouse started moving,m,0,,2019-06-11 10:48:54.978639,3,1
Mouse moved,m,446,9,2019-06-11 10:48:55.424308,3,1
Button clicked,m,18,9,2019-06-11 10:48:55.441864,3,1
Mouse started moving,m,0,,2019-06-11 10:48:55.490632,3,1
Mouse moved,m,526,+,2019-06-11 10:48:56.016360,3,1
Button clicked,m,34,+,2019-06-11 10:48:56.050311,3,1
Mouse started moving,m,0,,2019-06-11 10:48:56.083032,3,1
Mouse moved,m,494,1,2019-06-11 10:48:56.576686,3,1
Button clicked,m,17,1,2019-06-11 10:48:56.593790,3,1
Mouse started moving,m,0,,2019-06-11 10:48:56.642466,3,1
Mouse moved,m,230,0,2019-06-11 10:48:56.872751,3,1
Button clicked,m,18,0,2019-06-11 10:48:56.890989,3,1
Mouse started moving,m,0,,2019-06-11 10:48:56.963381,3,1
Mouse moved,m,397,+,2019-06-11 10:48:57.360273,3,1
Button clicked,m,40,+,2019-06-11 10:48:57.400131,3,1
Mouse started moving,m,0,,2019-06-11 10:48:57.426350,3,1
Mouse moved,m,462,1,2019-06-11 10:48:57.888753,3,1
Button clicked,m,31,1,2019-06-11 10:48:57.919745,3,1
Button clicked,m,18,1,2019-06-11 10:48:58.103372,3,1
Mouse started moving,m,0,,2019-06-11 10:48:58.202429,3,1
Mouse moved,m,486,+,2019-06-11 10:48:58.688121,3,1
Button clicked,m,32,+,2019-06-11 10:48:58.719594,3,1
Mouse started moving,m,0,,2019-06-11 10:48:58.868773,3,1
Mouse moved,m,332,1,2019-06-11 10:48:59.200281,3,1
Button clicked,m,34,1,2019-06-11 10:48:59.235006,3,1
Mouse started moving,m,0,,2019-06-11 10:48:59.242544,3,1
Mouse moved,m,222,2,2019-06-11 10:48:59.464335,3,1
Button clicked,m,17,2,2019-06-11 10:48:59.481795,3,1
Mouse started moving,m,0,,2019-06-11 10:48:59.538600,3,1
Mouse moved,m,422,+,2019-06-11 10:48:59.960150,3,1
Button clicked,m,18,+,2019-06-11 10:48:59.977194,3,1
Mouse started moving,m,0,,2019-06-11 10:49:00.051275,3,1
Mouse moved,m,477,1,2019-06-11 10:49:00.528997,3,1
Button clicked,m,24,1,2019-06-11 10:49:00.552123,3,1
Mouse started moving,m,0,,2019-06-11 10:49:00.602640,3,1
Mouse moved,m,366,3,2019-06-11 10:49:00.968403,3,1
Button clicked,m,41,3,2019-06-11 10:49:01.009237,3,1
Mouse started moving,m,0,,2019-06-11 10:49:01.026510,3,1
Mouse moved,m,421,+,2019-06-11 10:49:01.447948,3,1
Button clicked,m,34,+,2019-06-11 10:49:01.481935,3,1
Mouse started moving,m,0,,2019-06-11 10:49:01.558488,3,1
Mouse moved,m,323,1,2019-06-11 10:49:01.881199,3,1
Button clicked,m,34,1,2019-06-11 10:49:01.914720,3,1
Mouse started moving,m,0,,2019-06-11 10:49:01.930626,3,1
Mouse moved,m,238,4,2019-06-11 10:49:02.168327,3,1
Button clicked,m,15,4,2019-06-11 10:49:02.183819,3,1
Mouse started moving,m,0,,2019-06-11 10:49:02.266695,3,1
Mouse moved,m,502,+,2019-06-11 10:49:02.768294,3,1
Button clicked,m,39,+,2019-06-11 10:49:02.807647,3,1
Mouse started moving,m,0,,2019-06-11 10:49:02.890503,3,1
Mouse moved,m,806,5,2019-06-11 10:49:03.696739,3,1
Button clicked,m,63,5,2019-06-11 10:49:03.759840,3,1
Mouse started moving,m,0,,2019-06-11 10:49:03.970459,3,1
Mouse moved,m,1990,DEL,2019-06-11 10:49:05.960734,3,1
Button clicked,m,39,DEL,2019-06-11 10:49:05.999675,3,1
Mouse started moving,m,0,,2019-06-11 10:49:06.222489,3,1
